--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
20111106 16:20	21.3	21.3	21.3	96	20.7	0	0	-100000	0.2	1006.9	6	0.000	0.0
20111106 16:25	21.4	21.4	21.4	97	20.9	0	0	-100000	0.2	1006.8	7	0.000	0.0
20111106 16:30	21.4	21.4	21.4	97	20.9	0	0	-100000	0.2	1006.9	9	0.000	0.0
20111106 16:35	21.3	21.3	21.3	97	20.8	0	2	248	0.2	1007.0	9	0.000	0.0
20111106 16:40	21.3	21.3	21.3	97	20.8	0	0	-100000	0.2	1007.1	10	0.000	0.0
20111106 16:45	21.4	21.4	21.4	97	20.9	0	3	248	0.2	1007.2	10	0.000	0.0
20111106 16:50	21.4	21.4	21.4	97	20.9	0	2	248	0.0	1007.3	9	0.000	0.0
20111106 16:55	21.4	21.4	21.4	97	20.9	0	2	248	0.2	1007.3	11	0.000	0.0
20111106 17:00	21.4	21.4	21.4	97	20.9	0	2	248	0.2	1007.5	9	0.000	0.0
20111106 17:05	21.3	21.3	21.3	97	20.8	0	2	248	0.0	1007.5	9	0.000	0.0
20111106 17:10	21.3	21.3	21.3	97	20.8	0	3	112	0.2	1007.6	7	0.000	0.0
20111106 17:15	21.3	21.3	21.3	97	20.8	0	2	112	0.0	1007.6	5	0.000	0.0
20111106 17:20	21.3	21.3	21.3	97	20.8	2	3	112	0.2	1007.6	0	0.000	0.0
20111106 17:25	21.3	21.3	21.3	97	20.8	0	2	90	0.0	1007.7	0	0.000	0.0
20111106 17:30	21.3	21.3	21.3	97	20.8	0	2	90	0.2	1007.7	0	0.000	0.0
20111106 17:35	21.3	21.3	21.3	97	20.8	2	5	90	0.2	1007.7	0	0.000	0.0
20111106 17:40	21.3	21.3	21.3	97	20.8	2	3	68	0.2	1007.7	0	0.000	0.0
20111106 17:45	21.2	21.2	21.2	97	20.7	0	3	68	0.2	1007.8	0	0.000	0.0
20111106 17:50	21.2	21.2	21.2	97	20.7	2	5	45	0.2	1007.9	0	0.000	0.0
20111106 17:55	21.2	21.2	21.2	97	20.7	2	6	45	0.2	1007.9	0	0.000	0.0
20111106 18:00	21.1	21.1	21.1	96	20.4	3	5	68	0.2	1008.0	0	0.000	0.0
20111106 18:05	21.0	21.0	21.0	97	20.5	2	5	68	0.2	1008.1	0	0.000	0.0
20111106 18:10	20.9	20.9	20.9	96	20.2	2	5	45	0.2	1008.0	0	0.000	0.0
20111106 18:15	20.8	20.8	20.8	96	20.2	0	3	22	0.0	1008.2	0	0.000	0.0
20111106 18:20	20.8	20.8	20.8	96	20.2	2	5	22	0.2	1008.2	0	0.000	0.0
20111106 18:25	20.8	20.8	20.8	96	20.2	2	5	22	0.2	1008.3	0	0.000	0.0
20111106 18:30	20.8	20.8	20.8	96	20.1	0	2	22	0.0	1008.3	0	0.000	0.0
20111106 18:35	20.8	20.8	20.8	96	20.1	0	2	22	0.2	1008.5	0	0.000	0.0
20111106 18:40	20.7	20.7	20.7	96	20.1	0	2	22	0.0	1008.5	0	0.000	0.0
20111106 18:45	20.6	20.6	20.6	96	19.9	0	2	22	0.0	1008.6	0	0.000	0.0
20111106 18:50	20.5	20.5	20.5	96	19.8	0	2	22	0.2	1008.7	0	0.000	0.0
20111106 18:55	20.5	20.5	20.5	96	19.8	0	0	-100000	0.0	1008.8	0	0.000	0.0
20111106 19:00	20.4	20.4	20.4	96	19.8	0	2	22	0.0	1008.9	0	0.000	0.0
20111106 19:05	20.4	20.4	20.4	96	19.8	0	2	22	0.0	1008.9	0	0.000	0.0
20111106 19:10	20.4	20.4	20.4	96	19.8	0	0	-100000	0.2	1009.0	0	0.000	0.0
